,biomarker,logistic_pval,coefficient,point_biserial
79,mtb_0048164,0.0018094826367951978,40.911434348907335,0.07986985784565025
207,mtb_0104131,8.561571291571327e-05,2.248581764192411,0.12068520978543266
295,mtb_0163568,0.0026926446195990094,-16.029033824237025,-0.053792807626810886
328,mtb_0201973,0.0030177485654558924,1.8227357933913164,0.10449651905199282
330,mtb_0202342,0.004584303382178621,1.8406250591217377,0.1012630433888441
346,mtb_0225403,0.003220309484523023,1.7031796810772184,0.1206096708176549
352,mtb_0227994,0.002554083282720559,1.4949177795842645,0.12120149087547333
377,mtb_0248815,0.001455471986196351,2.7453960139795464,0.15372945252639109
420,mtb_0253764,0.0005274065960054005,2.2505739470478305,0.12562991174692614
427,mtb_0261299,9.326077292577433e-05,2.341213941215312,0.18505321038480269
443,mtb_0281689,0.00015061477327678132,2.4582417668299987,0.1376066374855987
456,mtb_0296147,1.2562569077790385e-05,-6.729288748984497,-0.17458715087111806
458,mtb_0297756,0.003516184524784167,3.0505019983256534,0.09543784896739091
459,mtb_0297777,0.0025482280652530955,2.1623438910921817,0.11737412846463516
460,mtb_0297781,0.0021194123642037967,2.0287069716599238,0.11560053311585947
481,mtb_0322296,0.00030657344826127465,2.115133922397592,0.1438616154058646
483,mtb_0324374,2.997330550650939e-08,-4.777422071288143,-0.15884522322893865
484,mtb_0324385,0.001926902158278346,2.028960958083548,0.08040164285680042
506,mtb_0343881,0.0019776285381853404,-7.004370624691352,-0.0821485001681503
532,mtb_0353059,0.0002683643703551849,2.0226733320122037,0.0712097626599311
533,mtb_0353188,0.0010422695883738266,2.991262689251442,0.13445343000201526
586,mtb_0389392,0.0009350592736333551,3.1602069058613513,0.060944390717771905
594,mtb_0399646,0.0003076380382703512,3.4969279232858996,0.06543131768547672
606,mtb_0405622,0.0005150838625235167,1.6896961473430916,0.11242061993943468
608,mtb_0406096,1.637019124866836e-05,2.8676242735905664,0.12943252713835854
612,mtb_0408006,0.00165463425533269,-2.9710676545969457,-0.07928721802636826
646,mtb_0434979,0.003723745451508299,2.846988376005649,0.09414159455330283
661,mtb_0444133,0.0021834751878470216,3.7464999440832094,0.07259793962848829
679,mtb_0456465,0.0012945146522260738,2.5033920861013748,0.0819728638134577
691,mtb_0465668,0.0003153192531686964,2.9653698915215743,0.15869202836279245
722,mtb_0491720,0.0007267854072373593,2.4968679574335613,0.11717613275310997
