,biomarker,anova_pval,point_biserial
79,mtb_0048164,0.00051528058777638,0.07986985784565025
110,mtb_0060324,0.004330687515618429,-0.10397701706975136
207,mtb_0104131,0.0015568261011739625,0.12068520978543266
218,mtb_0110143,0.0025365912689984844,0.061352042461942466
254,mtb_0129176,0.0010212710929110563,-0.11478945186982714
295,mtb_0163568,0.002441062757516803,-0.053792807626810886
313,mtb_0176910,0.0028372279898060604,-0.10500912614927374
346,mtb_0225403,0.002776830051124011,0.1206096708176549
352,mtb_0227994,0.0017044540420635083,0.12120149087547333
362,mtb_0236803,0.0011900611120764192,-0.11419460778057523
420,mtb_0253764,0.0037473890233045855,0.12562991174692614
427,mtb_0261299,0.0015219668873418491,0.18505321038480269
443,mtb_0281689,0.0028914340398558665,0.1376066374855987
456,mtb_0296147,0.00012206035703146575,-0.17458715087111806
483,mtb_0324374,2.329450229682842e-06,-0.15884522322893865
484,mtb_0324385,0.001984971735044573,0.08040164285680042
506,mtb_0343881,0.0043498821525634395,-0.0821485001681503
532,mtb_0353059,0.0027935022567747085,0.0712097626599311
586,mtb_0389392,0.0033736227816979296,0.060944390717771905
594,mtb_0399646,0.0010551163962963883,0.06543131768547672
608,mtb_0406096,0.00036659946182950737,0.12943252713835854
612,mtb_0408006,0.0021641241227742278,-0.07928721802636826
679,mtb_0456465,0.002036175421656208,0.0819728638134577
691,mtb_0465668,0.001657797877063521,0.15869202836279245
722,mtb_0491720,0.0032768685832916178,0.11717613275310997
804,mtb_0533713,0.0001092392337696651,0.1385516080737224
817,mtb_0543246,0.0002465765886618796,0.07411329650171476
818,mtb_0543258,0.0029533475704809106,0.07944389475327349
852,mtb_0573060,0.0036853422830684527,0.06718591053526092
865,mtb_0582314,0.0017426015254696575,0.0633937334229388
866,mtb_0583660,0.0013162639925751657,0.06039226652571417
869,mtb_0584739,2.036080194486319e-05,0.19744673161097098
870,mtb_0584743,8.525726687964454e-06,0.20329953510627444
872,mtb_0584850,1.2295246600204116e-05,0.20516953815214914
877,mtb_0587971,0.0015379999511012025,0.10678300264474755
907,mtb_0606618,0.004452340399215778,0.07873772568875344
1001,mtb_0699801,3.783593652528508e-05,0.09480171214341072
1029,mtb_0714376,0.0015357204665028023,-0.05350506317254721
1030,mtb_0714390,0.0011766814184191727,-0.05343831848466192
1031,mtb_0715124,0.00043278855540718967,-0.12353953125417907
1045,mtb_0733731,2.839619505421704e-07,0.20873992848879896
1046,mtb_0733737,0.00013777260406432507,0.1702680735170608
1066,mtb_0745332,0.0038102224510271052,0.1434824932220415
1081,mtb_0751340,0.00017205842821419113,-0.16792382986204585
1086,mtb_0753185,0.003495324392543849,0.18337513557412344
1149,mtb_0807334,0.0045592716675959604,-0.056713612043528275
1150,mtb_0807342,0.0023037681570281217,-0.06273915998022798
1175,mtb_0818115,0.002374267256480166,0.08943187197178919
1189,mtb_0825566,0.004580598076100563,0.11077314001678214
1196,mtb_0828589,0.0002388328439138165,0.1267852429287068
1203,mtb_0836012,0.00020712560108753677,0.12031580199765823
1231,mtb_0849974,0.0034502820280215498,0.13221803785004133
1275,mtb_0866690,0.0036688828300299446,0.13274352605861658
1280,mtb_0869310,0.0031285338614225103,0.0716761511824946
1282,mtb_0870349,0.001550603905328918,0.07820754069336149
1290,mtb_0879257,2.9124161327633337e-06,0.15569951102792678
1294,mtb_0880988,9.947152734932932e-08,0.19383695058403289
1298,mtb_0885852,0.0005842459262298466,0.06810983540065488
1327,mtb_0896658,0.00029143287995698943,-0.1089479012459843
1347,mtb_0903240,0.0022682053463178526,0.1121907821811227
1359,mtb_0909009,0.0038171589358771286,-0.08809520159490314
1361,mtb_0910183,2.879697014354339e-05,0.14320397244860875
1383,mtb_0929701,0.0002166666388432956,0.14043322144991854
1412,mtb_0947394,0.00044476580608253743,0.06502254291683032
1414,mtb_0948501,0.000545426924422931,0.09951066751003876
1433,mtb_0962331,0.001624796140941134,0.11688911010426206
1457,mtb_0972054,0.0003520484338370732,-0.12340916875885932
1476,mtb_0983033,0.00431389570046797,0.05317508823701519
1481,mtb_0985311,0.0012956521289550025,-0.12672211463989735
1489,mtb_0990924,0.003713459161545368,0.1021000514430234
1491,mtb_0991750,0.0008173984950446905,-0.10032279158632974
1498,mtb_0993407,5.6886216007660473e-08,-0.12220721713496308
1521,mtb_1005679,4.4158427464136556e-05,-0.10167338521524656
1555,mtb_1026438,0.0008030536826064043,0.13121699728414715
